County,Age,Age Group Estimate,Age Group ME,Year
Boone,55 to 59 years,"2,019",249,2020
Boone,60 and 61 years,863,215,2016
Boone,60 and 61 years,863,215,2017
Boone,60 and 61 years,863,215,2018
Boone,60 and 61 years,863,215,2019
Boone,60 and 61 years,863,215,2020
Boone,62 to 64 years,"1,147",230,2016
Boone,62 to 64 years,"1,147",230,2017
Boone,62 to 64 years,"1,147",230,2018
Boone,62 to 64 years,"1,147",230,2019
Boone,62 to 64 years,"1,147",230,2020
Boone,65 and 66 years,640,163,2016
Boone,65 and 66 years,640,163,2017
Boone,65 and 66 years,640,163,2018
Boone,65 and 66 years,640,163,2019
Boone,65 and 66 years,640,163,2020
Boone,67 to 69 years,"1,101",221,2016
Boone,67 to 69 years,"1,101",221,2017
Boone,67 to 69 years,"1,101",221,2018
Boone,67 to 69 years,"1,101",221,2019
Boone,67 to 69 years,"1,101",221,2020
Boone,70 to 74 years,"1,049",174,2016
Boone,70 to 74 years,"1,049",174,2017
Boone,70 to 74 years,"1,049",174,2018
Boone,70 to 74 years,"1,049",174,2019
Boone,70 to 74 years,"1,049",174,2020
Boone,75 to 79 years,889,162,2016
Boone,75 to 79 years,889,162,2017
Boone,75 to 79 years,889,162,2018
Boone,75 to 79 years,889,162,2019
Boone,75 to 79 years,889,162,2020
Boone,80 to 84 years,519,158,2016
Boone,80 to 84 years,519,158,2017
Boone,80 to 84 years,519,158,2018
Boone,80 to 84 years,519,158,2019
Boone,80 to 84 years,519,158,2020
