"County","Year","Middle-Old","Middle-Young","Old","Young"
"Lee",2017,6766,5719,9525,3564
"Lee",2018,6766,5719,9525,3564
"Lee",2019,6766,5719,9525,3564
"Lee",2020,6766,5719,9525,3564
"Linn",2011,43482,43086,42795,25825
"Linn",2012,43482,43086,42795,25825
"Linn",2013,43482,43086,42795,25825
"Linn",2014,43482,43086,42795,25825
"Linn",2015,43482,43086,42795,25825
"Linn",2016,43289,44228,49193,27782
"Linn",2017,43289,44228,49193,27782
"Linn",2018,43289,44228,49193,27782
"Linn",2019,43289,44228,49193,27782
"Linn",2020,43289,44228,49193,27782
"Louisa",2011,2514,2084,2539,976
"Louisa",2012,2514,2084,2539,976
"Louisa",2013,2514,2084,2539,976
"Louisa",2014,2514,2084,2539,976
"Louisa",2015,2514,2084,2539,976
"Louisa",2016,2127,1934,2890,1320
"Louisa",2017,2127,1934,2890,1320
"Louisa",2018,2127,1934,2890,1320
"Louisa",2019,2127,1934,2890,1320
"Louisa",2020,2127,1934,2890,1320
"Lucas",2011,1873,1333,2538,679
"Lucas",2012,1873,1333,2538,679
"Lucas",2013,1873,1333,2538,679
"Lucas",2014,1873,1333,2538,679
"Lucas",2015,1873,1333,2538,679
"Lucas",2016,1795,1285,2424,840
"Lucas",2017,1795,1285,2424,840
"Lucas",2018,1795,1285,2424,840
"Lucas",2019,1795,1285,2424,840
"Lucas",2020,1795,1285,2424,840
"Lyon",2011,2250,2125,2700,1012
"Lyon",2012,2250,2125,2700,1012
"Lyon",2013,2250,2125,2700,1012
"Lyon",2014,2250,2125,2700,1012
"Lyon",2015,2250,2125,2700,1012
"Lyon",2016,2027,2119,2882,1042
"Lyon",2017,2027,2119,2882,1042
"Lyon",2018,2027,2119,2882,1042
"Lyon",2019,2027,2119,2882,1042
"Lyon",2020,2027,2119,2882,1042
"Madison",2011,3520,3020,3364,1218
"Madison",2012,3520,3020,3364,1218
"Madison",2013,3520,3020,3364,1218
"Madison",2014,3520,3020,3364,1218
"Madison",2015,3520,3020,3364,1218
"Madison",2016,3407,2962,3883,1506
"Madison",2017,3407,2962,3883,1506
"Madison",2018,3407,2962,3883,1506
"Madison",2019,3407,2962,3883,1506
"Madison",2020,3407,2962,3883,1506
"Mahaska",2011,4482,3900,5277,2350
"Mahaska",2012,4482,3900,5277,2350
"Mahaska",2013,4482,3900,5277,2350
"Mahaska",2014,4482,3900,5277,2350
"Mahaska",2015,4482,3900,5277,2350
"Mahaska",2016,4112,3883,5561,2256
"Mahaska",2017,4112,3883,5561,2256
"Mahaska",2018,4112,3883,5561,2256
"Mahaska",2019,4112,3883,5561,2256
"Mahaska",2020,4112,3883,5561,2256
"Marion",2011,6586,5774,7508,3573
"Marion",2012,6586,5774,7508,3573
"Marion",2013,6586,5774,7508,3573
"Marion",2014,6586,5774,7508,3573
"Marion",2015,6586,5774,7508,3573
"Marion",2016,6298,5736,8239,3509
"Marion",2017,6298,5736,8239,3509
"Marion",2018,6298,5736,8239,3509
"Marion",2019,6298,5736,8239,3509
"Marion",2020,6298,5736,8239,3509
"Marshall",2011,8197,6975,9623,4409
"Marshall",2012,8197,6975,9623,4409
"Marshall",2013,8197,6975,9623,4409
"Marshall",2014,8197,6975,9623,4409
"Marshall",2015,8197,6975,9623,4409
"Marshall",2016,7423,6907,9764,4279
"Marshall",2017,7423,6907,9764,4279
"Marshall",2018,7423,6907,9764,4279
"Marshall",2019,7423,6907,9764,4279
"Marshall",2020,7423,6907,9764,4279
"Mills",2011,3559,2594,3371,1200
"Mills",2012,3559,2594,3371,1200
"Mills",2013,3559,2594,3371,1200
"Mills",2014,3559,2594,3371,1200
"Mills",2015,3559,2594,3371,1200
"Mills",2016,3161,2601,3956,1278
"Mills",2017,3161,2601,3956,1278
"Mills",2018,3161,2601,3956,1278
"Mills",2019,3161,2601,3956,1278
"Mills",2020,3161,2601,3956,1278
"Mitchell",2011,2293,1601,2962,936
"Mitchell",2012,2293,1601,2962,936
"Mitchell",2013,2293,1601,2962,936
"Mitchell",2014,2293,1601,2962,936
"Mitchell",2015,2293,1601,2962,936
"Mitchell",2016,1998,1616,3058,1125
"Mitchell",2017,1998,1616,3058,1125
"Mitchell",2018,1998,1616,3058,1125
"Mitchell",2019,1998,1616,3058,1125
"Mitchell",2020,1998,1616,3058,1125
"Monona",2011,1937,1354,2896,836
"Monona",2012,1937,1354,2896,836
"Monona",2013,1937,1354,2896,836
"Monona",2014,1937,1354,2896,836
"Monona",2015,1937,1354,2896,836
